referencia,transcricao_simulada
"""Temos aqui imagens de câmeras de segurança que mostram alguém com características muito parecidas com as suas nas proximidades do café vandalizado. Reconhece este local?""","""Temos aqui imagens de câmeras de segurança EXTRA que mostram alguém características muito parecidas as suas nas proximidades do café ERRO Reconhece este local?"""
"""Sim, mas eu não fiz nada. Só passei por ali.""","""Sim, ERRO EXTRA eu não fiz nada. Só passei por ali."""
"""Compreendo. No entanto, o indivíduo nas imagens está segurando algo que parece ser uma lata de spray. Curiosamente, encontramos uma lata de tinta spray na sua mochila quando foi abordado. Como explica isso?""","""Compreendo. No EXTRA entanto, o indivíduo nas imagens está EXTRA segurando algo que parece ser uma lata EXTRA EXTRA de spray. Curiosamente, encontramos uma lata de tinta na ERRO mochila quando foi abordado. Como explica isso?"""
"""Eu costumo usar spray para pintar coisas minhas, mas não tem nada a ver com isso.""","""Eu usar spray EXTRA para pintar coisas minhas, mas não tem nada a ver com isso."""
"""Certo. Mas as tintas na sua mochila coincidem com a cor usada nas pichações do café. Como justifica isso?""","""Certo. Mas as tintas na sua ERRO coincidem com a cor usada ERRO pichações do café. Como justifica isso?"""
"""É coincidência. Qualquer um pode comprar essa tinta em uma loja.""","coincidência. EXTRA Qualquer um pode comprar essa tinta em uma loja."""
"""Entendido. Vamos falar das janelas quebradas. Acreditamos que foram usadas pedras ou outros objetos pesados. Alguém viu o senhor carregando algo assim?""","""Entendido. Vamos falar das janelas quebradas. Acreditamos que ERRO usadas pedras ERRO outros objetos pesados. ERRO viu senhor carregando algo assim?"""
"""Não. Eu estava só com minha mochila.""","""Não. ERRO estava só com minha mochila."""
"""Entenda que as evidências apontam para o senhor: imagens, objetos encontrados e o horário em que foi visto perto do local. É sua oportunidade de ser honesto. Existe algo que queira nos contar?""","EXTRA ""Entenda que EXTRA as evidências apontam para o senhor: imagens, encontrados e o horário em que foi visto perto do local. É sua oportunidade de ser honesto. Existe algo que queira ERRO"
"""Eu já disse que não fiz nada.""","""Eu já disse EXTRA que não fiz nada."""
"""Muito bem, senhor Pedro Vasco. Agradeço por responder às nossas perguntas. Sua declaração será analisada junto às provas que temos. Se houver algo mais que queira acrescentar, pode fazê-lo agora.""","""Muito bem, senhor Pedro Vasco. Agradeço por responder às nossas perguntas. Sua declaração será analisada ERRO às provas que Se houver algo ERRO que EXTRA acrescentar, pode fazê-lo agora."""
"""Não tenho mais nada a dizer.""","tenho mais nada a dizer."""
"""Ok. Entraremos em contato com você ou com seu advogado caso precisemos de mais informações. Obrigado.""","""Ok. Entraremos em contato com você com seu caso precisemos ERRO mais informações. Obrigado."""
"""Boa tarde, Carmem Justice. Esta entrevista está sendo gravada como parte de uma investigação sobre transferências bancárias fraudulentas. Antes de começarmos, quero lembrar que você tem o direito de permanecer em silêncio e de ter um advogado presente. Está claro?""","""Boa ERRO Carmem Justice. Esta está sendo gravada como parte de uma investigação sobre bancárias fraudulentas. Antes de começarmos, quero lembrar que você tem o ERRO de permanecer em silêncio e ter um advogado presente. Está claro?"""
"""Sim.""","""Sim."""
"""Ótimo. Podemos começar com algumas perguntas básicas?""","""Ótimo. Podemos começar algumas perguntas básicas?"""
"""Sim.""","""Sim."""
"""A senhora é titular da conta bancária 1234567890 no Banco Felix?""","EXTRA ""A senhora é titular da conta bancária no Banco Felix?"""
"""Sim, essa conta é minha.""","ERRO essa conta é minha."""
"""Pode nos dizer se realizou alguma transferência bancária entre os dias 20 de dezembro?""","ERRO dizer se realizou alguma transferência bancária entre os dias 20 EXTRA de dezembro?"""
"""Não. Não fiz nada disso.""","ERRO Não fiz nada disso."""
"""Entendido. No entanto, temos registros de que sua conta recebeu várias transferências de contas de terceiros. Além disso, os logs do sistema mostram que os acessos foram feitos a partir de um endereço IP vinculado à sua residência. Como explica isso?""","ERRO No entanto, ERRO registros de que EXTRA sua conta recebeu várias transferências de de terceiros. Além EXTRA disso, os logs do sistema mostram que os acessos EXTRA foram feitos a partir de um endereço IP à sua residência. Como explica isso?"""
"""Eu não sei. Alguém deve ter usado minha conta ou hackeado meu computador.""","""Eu não ERRO Alguém ERRO ter usado minha conta ou hackeado meu computador."""
"""Compreendo. A senhora costuma compartilhar a senha do seu banco com alguém?""","""Compreendo. A senhora costuma compartilhar a senha seu com alguém?"""
"""Não, nunca.""","""Não, nunca."""
"""A senhora mencionou que seu computador pode ter sido hackeado. Já percebeu alguma atividade estranha, como e-mails suspeitos ou pop-ups?""","""A senhora EXTRA ERRO seu ERRO pode ter sido hackeado. Já percebeu alguma atividade estranha, como e-mails suspeitos ou pop-ups?"""
"""Não que eu me lembre, mas não sou boa com tecnologia.""","""Não que eu ERRO lembre, mas EXTRA não sou boa com tecnologia."""
"""Certo. Os especialistas nos disseram que as transferências foram feitas a partir de um navegador específico configurado com suas credenciais salvas. A senhora utiliza esse recurso?""","ERRO Os especialistas nos disseram que as transferências foram feitas a partir de um ERRO específico configurado com credenciais salvas. A senhora EXTRA utiliza esse recurso?"""
"""Sim, deixo as senhas salvas porque é mais fácil.""","""Sim, deixo as senhas salvas porque é EXTRA fácil."""
"""Entenda, Carmem Justice, temos evidências concretas. É melhor para a senhora explicar exatamente o que aconteceu. Há algo que queira admitir?""","""Entenda, Carmem Justice, EXTRA temos ERRO concretas. É melhor para a senhora explicar exatamente o ERRO ERRO Há algo que queira admitir?"""
"""Já disse que não fiz nada. Talvez alguém tenha usado meu computador quando eu não estava em casa.""","""Já EXTRA disse que não fiz nada. Talvez alguém tenha meu computador quando ERRO não estava em casa."""
"""Muito bem, senhora Carmem Justice. Suas respostas serão avaliadas junto às provas. Caso queira adicionar algo mais, é sua oportunidade agora.""","""Muito bem, senhora Carmem Justice. Suas respostas serão EXTRA avaliadas EXTRA junto ERRO provas. Caso queira adicionar algo mais, sua oportunidade agora."""
"""Não tenho mais nada a dizer.""","""Não tenho mais nada a EXTRA dizer."""
"""Entendido. Entraremos em contato com você ou com seu advogado se precisarmos de mais informações. Obrigado pela colaboração.""","""Entendido. Entraremos em contato com você ou EXTRA com seu advogado EXTRA se precisarmos de mais informações. ERRO pela colaboração."""
"""Boa tarde, Diana Ferreira. Esta entrevista está sendo gravada como parte da investigação sobre o furto ocorrido no supermercado Mercadinho Coimbra, na tarde de 28 de novembro de 2023. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar um advogado?""","""Boa tarde, Diana Ferreira. Esta entrevista sendo EXTRA ERRO como parte da ERRO sobre o furto ocorrido no supermercado Mercadinho Coimbra, EXTRA na tarde de 28 de novembro de 2023. EXTRA O senhor entende ERRO ERRO incluindo o de permanecer em silêncio e solicitar um advogado?"""
"""Sim.""","""Sim."""
"""Ótimo. Queremos ouvir sua versão dos fatos. Está disposta a colaborar?""","""Ótimo. Queremos ouvir ERRO versão dos fatos. Está disposta a"
"""Sim, claro.""","""Sim, claro."""
"""Pode nos contar o que estava fazendo no supermercado por volta das 15:30 daquela tarde?""","""Pode nos contar o que estava EXTRA fazendo no supermercado por ERRO das 15:30 daquela EXTRA tarde?"""
"""Sim, eu estava comprando alguns itens de higiene pessoal. Peguei algumas coisas e continuei olhando outras.""","""Sim, estava comprando alguns itens de higiene pessoal. Peguei algumas coisas EXTRA e continuei ERRO outras."""
"""Compreendo. Estava sozinha ou acompanhada?""","""Compreendo. sozinha ou acompanhada?"""
"""Sozinha.""","""Sozinha."""
"""Temos aqui imagens das câmeras de segurança que mostram a senhora colocando itens diretamente na bolsa em vez de no carrinho ou na cesta. Pode explicar por que fez isso?""","""Temos aqui imagens das EXTRA câmeras de que EXTRA mostram a ERRO colocando itens diretamente na bolsa em vez de no carrinho ou na cesta. Pode EXTRA explicar por que fez isso?"""
"""Ah, eu... Sim, lembro disso. Minha cesta estava muito cheia, então coloquei na bolsa para carregar. Depois esqueci de tirar.""","""Ah, eu... Sim, lembro EXTRA ERRO Minha cesta ERRO ERRO cheia, então coloquei na bolsa para carregar. Depois esqueci de tirar."""
"""Entendido. No entanto, os produtos não foram devolvidos às prateleiras, e também não estavam na sua cesta quando foi confrontada. Como explica isso?""","No entanto, os produtos não foram devolvidos às prateleiras, EXTRA e também não estavam na sua ERRO quando foi confrontada. Como explica isso?"""
"""Eu ia devolver, mas fui abordada antes. Foi um erro meu.""","""Eu ia devolver, fui abordada antes. Foi erro meu."""
"""Entendo. Mas os itens encontrados na sua bolsa somam mais de 50 euros em produtos, e a maioria é de higiene pessoal. Algum motivo específico para ter colocado esses itens em particular?""","""Entendo. Mas os EXTRA itens ERRO na sua EXTRA bolsa somam de 50 euros em produtos, e a maioria é de higiene pessoal. Algum motivo específico para ter EXTRA ERRO esses itens em particular?"""
"""Não, só eram coisas que eu ia comprar, mas mudei de ideia.""","""Não, só eram coisas eu ia comprar, mudei de ideia."""
"""Compreendido. Contudo, nossa equipe encontrou o recibo de outros produtos comprados no mesmo supermercado. Por que esses itens não estavam na lista de compras final?""","""Compreendido. Contudo, nossa equipe ERRO o recibo de ERRO produtos comprados no mesmo supermercado. EXTRA Por que EXTRA esses itens não estavam na lista de compras final?"""
"""Eu não sei... Eu só me confundi.""","""Eu não sei... Eu só confundi."""
"""Quero lembrar que as evidências sugerem intencionalidade: os itens na bolsa, o valor elevado e as imagens de segurança. Este é o momento de ser honesta. Há algo que queira acrescentar?""","""Quero lembrar que as evidências intencionalidade: os itens na EXTRA o valor elevado e as imagens de segurança. Este é o momento de ser honesta. Há queira acrescentar?"""
"""Já disse tudo. Não foi de propósito.""","""Já disse tudo. Não foi ERRO propósito."""
"""Está certo, Diana Ferreira. Agradecemos por responder às perguntas. Sua declaração será analisada junto às provas disponíveis. Caso precise adicionar algo mais, agora é o momento.""","""Está certo, Diana Ferreira. Agradecemos por responder EXTRA às perguntas. Sua declaração será analisada junto às provas disponíveis. ERRO precise ERRO algo mais, é momento."""
"""Não, não tenho mais nada a dizer.""","""Não, não tenho mais a dizer."""
"""Obrigado. Fique à disposição para mais esclarecimentos.""","""Obrigado. Fique à disposição EXTRA para mais esclarecimentos."""
"""Boa tarde, Tiago Santos e senhor António Santos. Esta conversa será registrada para esclarecermos o incidente ocorrido na biblioteca da Escola Secundária de Lisboa, no dia 3 de dezembro de 2023. Tiago, você entende que estamos aqui para ouvir sua versão, mas que você tem o direito de permanecer em silêncio e consultar um advogado, caso ache necessário?""","""Boa tarde, Tiago e senhor António Santos. EXTRA Esta conversa será registrada para esclarecermos o incidente ocorrido na biblioteca EXTRA da Secundária de Lisboa, ERRO dia 3 de dezembro de 2023. Tiago, você entende que estamos aqui para ouvir ERRO versão, que você tem o direito ERRO permanecer em silêncio e EXTRA consultar advogado, caso ache necessário?"""
"""Sim, eu entendo.""","""Sim, entendo."""
"""Ótimo. Espero que possamos esclarecer tudo de maneira honesta e colaborativa. Está pronto para conversar?""","""Ótimo. Espero que ERRO esclarecer tudo de ERRO honesta e colaborativa. Está pronto para"
"""Sim.""","""Sim."""
"""Pode nos contar o que estava fazendo na biblioteca por volta das 14h daquela tarde?""","""Pode EXTRA EXTRA nos contar o que ERRO fazendo na biblioteca por volta das 14h daquela tarde?"""
"""Eu estava estudando para um teste de matemática com alguns colegas.""","""Eu estudando para ERRO teste de matemática com alguns colegas."""
"""Entendido. Você costuma usar os computadores da biblioteca durante seus estudos?""","""Entendido. Você costuma usar os computadores da biblioteca durante seus estudos?"""
"""Sim, às vezes. Mas naquele dia eu não usei.""","""Sim, ERRO vezes. naquele dia eu não usei."""
"""Tiago, temos aqui imagens das câmeras internas que mostram você inserindo um objeto metálico na entrada USB de um dos computadores. Pode nos explicar o que estava fazendo?""","EXTRA ""Tiago, temos aqui EXTRA imagens das câmeras internas que mostram EXTRA você inserindo um objeto metálico na entrada USB de um ERRO computadores. Pode nos explicar o ERRO estava fazendo?"""
"""Eu... Bem, eu só estava tentando ver se o computador funcionava direito. Não pensei que ia quebrar.""","EXTRA ""Eu... eu só estava tentando ver se o computador funcionava direito. pensei que ia quebrar."""
"""Entendido. No entanto, após o incidente, o computador parou de funcionar, causando danos significativos. Você se lembra de ter sido avisado sobre como manusear os equipamentos?""","""Entendido. No entanto, após o incidente, EXTRA ERRO computador parou de funcionar, causando danos significativos. se lembra de ter sido avisado sobre EXTRA como manusear os ERRO"
"""Sim, mas eu só estava brincando. Não foi por mal.""","EXTRA ""Sim, mas eu só estava brincando. Não foi por ERRO"
"""Entendo, mas essa 'brincadeira' resultou em um prejuízo significativo para a escola. Além disso, colegas relataram que você havia mencionado que os computadores da escola eram velhos e ruins. Isso é verdade?""","""Entendo, mas 'brincadeira' resultou ERRO um prejuízo significativo para a Além disso, colegas relataram que você havia EXTRA mencionado que os computadores da escola eram velhos EXTRA ruins. Isso é verdade?"""
"""Ah, eu já comentei isso, sim. Mas não quis dizer nada de errado. Só acho que eles travam muito.""","""Ah, eu comentei isso, sim. Mas não dizer nada EXTRA de errado. Só acho que eles travam muito."""
"""Compreendido. Contudo, o objeto encontrado no seu armário coincide exatamente com o que aparece nas imagens. Pode nos dizer por que estava com ele?""","""Compreendido. Contudo, o objeto encontrado no seu armário coincide exatamente com que aparece nas ERRO Pode nos dizer que estava com EXTRA ele?"""
"""Era só um chaveiro. Eu sempre carrego comigo.""","""Era só um chaveiro. sempre carrego comigo."""
"""Tiago, quero ressaltar que as evidências indicam claramente sua responsabilidade nesse incidente. Esta é uma oportunidade para você ser honesto e ajudar a resolver a situação. Há algo mais que queira nos contar?""","""Tiago, quero ressaltar as evidências EXTRA claramente sua responsabilidade nesse incidente. Esta é uma EXTRA oportunidade para EXTRA você honesto e ajudar a resolver a situação. Há algo mais que queira nos contar?"""
"""Não foi por mal... Eu só queria mostrar pros meus amigos que aqueles computadores não valiam nada.""","""Não foi por mal... Eu ERRO EXTRA queria mostrar pros meus que aqueles computadores não valiam nada."""
"""Compreendo, mas você reconhece que sua atitude não foi adequada e causou danos intencionais, mesmo que tenha sido para provar um ponto?""","""Compreendo, EXTRA mas você reconhece que sua atitude foi adequada e causou ERRO intencionais, mesmo que tenha sido EXTRA para provar um ponto?"""
"""Sim... Eu sei que errei.""","""Sim... Eu sei EXTRA que errei."""
"""Obrigado por ser honesto, Tiago. Sua declaração será levada em consideração junto às provas. Este é um momento importante para refletir sobre suas ações e suas consequências. Senhor António, agradeço sua presença. Caso precisem de mais informações ou desejem adicionar algo, fiquem à vontade.""","ERRO honesto, Tiago. ERRO declaração será levada em consideração junto às provas. Este é um momento importante para sobre suas ações e suas consequências. Senhor agradeço sua presença. ERRO precisem de mais informações ou desejem adicionar algo, fiquem à vontade."""
Pai:,Pai:
"""Obrigado. Vamos refletir sobre isso em casa.""","""Obrigado. Vamos refletir sobre EXTRA isso em casa."""
"""Desculpe... Não queria causar problemas.""","""Desculpe... Não queria ERRO problemas."""
"""Entendido, Tiago. Vamos trabalhar juntos para corrigir isso.""","""Entendido, Tiago. Vamos trabalhar juntos corrigir isso."""
"""Boa tarde, João Oliveira. Esta entrevista está sendo gravada como parte da investigação sobre o vandalismo ocorrido na Escola Secundária José Régio, na noite de 3 de dezembro de 2023. Você compreende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um responsável ou advogado?""","""Boa tarde, João Oliveira. Esta entrevista está sendo ERRO como parte da investigação sobre o vandalismo ocorrido na Escola Secundária José Régio, na ERRO 3 de dezembro de 2023. Você compreende ERRO direitos, incluindo o ERRO ERRO em silêncio e solicitar a presença de um responsável ERRO advogado?"""
"""Sim.""","""Sim."""
"""Muito bem. Queremos entender sua versão dos fatos. Está disposto a colaborar?""","""Muito bem. Queremos entender sua versão dos fatos. Está a"
"""Sim.""","""Sim."""
"""João, pode nos dizer o que estava fazendo nas proximidades da escola por volta das 22h daquela noite?""","""João, pode nos dizer o que estava nas EXTRA proximidades da ERRO por volta das 22h daquela noite?"""
"""Eu estava só passeando, fui encontrar alguns amigos.""","""Eu estava só fui encontrar alguns amigos."""
"""Estava sozinho ou acompanhado?""","""Estava sozinho ou ERRO"
"""Sozinho, mas depois encontrei o pessoal.""","""Sozinho, mas depois encontrei o EXTRA pessoal."""
"""As câmeras de segurança mostram um jovem usando uma blusa preta e calças jeans, que correspondem ao que você vestia, perto da fachada vandalizada. Pode explicar isso?""","""As câmeras de segurança EXTRA mostram um jovem usando uma blusa EXTRA preta jeans, que correspondem ao que você EXTRA vestia, perto da fachada vandalizada. Pode explicar isso?"""
"""Sim, era eu mesmo, mas não fiz nada. Estava só passando por lá.""","""Sim, era eu mesmo, mas EXTRA não fiz nada. Estava EXTRA só passando por lá."""
"""Compreendo. Contudo, testemunhas relataram que você estava com uma mochila cheia de sprays de tinta. Isso procede?""","""Compreendo. Contudo, testemunhas relataram que EXTRA você estava com uma mochila cheia de sprays tinta. EXTRA Isso procede?"""
"""Ah, eu tinha uns sprays, mas era para pintar em outro lugar, não na escola.""","""Ah, eu tinha ERRO sprays, mas era para EXTRA pintar em outro lugar, não na escola."""
"""Entendo. Mas se não tinha intenção de vandalizar a escola, por que foi visto parado exatamente onde as pichações foram feitas?""","""Entendo. Mas EXTRA se EXTRA não tinha intenção de vandalizar a escola, por que foi visto EXTRA parado exatamente onde as pichações EXTRA foram feitas?"""
"""Eu estava esperando meus amigos. Não sei quem fez aquilo.""","""Eu ERRO esperando meus amigos. Não sei EXTRA quem fez aquilo."""
"""João, também encontramos manchas de tinta na sua mão e na blusa no dia seguinte. Como você explica isso?""","""João, também encontramos manchas de EXTRA tinta na mão e na blusa no dia ERRO Como você explica isso?"""
"""Usei os sprays em casa antes de sair, só isso.""","""Usei os sprays em ERRO antes de EXTRA sair, só isso."""
"""Veja bem, as evidências apontam para o contrário: sua presença no local, os sprays, as manchas de tinta e os relatos das testemunhas. Este é o momento de esclarecer tudo. Há algo mais que queira nos contar?""","""Veja bem, ERRO evidências apontam para o contrário: sua presença no local, EXTRA ERRO sprays, as manchas de tinta ERRO os relatos das EXTRA testemunhas. ERRO é o ERRO de esclarecer tudo. Há algo mais que queira nos contar?"""
"""Não, já disse tudo. Não fui eu.""","""Não, já disse ERRO Não fui eu."""
"""Está certo, João. Agradecemos por responder às perguntas. Sua declaração será analisada junto às provas. Caso queira acrescentar algo, agora é o momento.""","""Está certo, João. Agradecemos por EXTRA às perguntas. Sua declaração será analisada junto às provas. Caso EXTRA queira acrescentar algo, agora é o ERRO"
"""Não, é só isso.""","""Não, EXTRA é só isso."""
"""Obrigado. Fique disponível para eventuais novos esclarecimentos.""","""Obrigado. Fique disponível ERRO eventuais novos esclarecimentos."""
"""Boa tarde, Paulo Almeida. Esta entrevista está sendo gravada como parte da investigação sobre o roubo de uma bicicleta elétrica no Parque das Nações, na tarde de 12 de dezembro de 2023. Você entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa tarde, Paulo EXTRA Almeida. Esta entrevista está gravada como parte da investigação sobre o roubo de EXTRA uma bicicleta elétrica no das Nações, na tarde de ERRO de dezembro de 2023. EXTRA Você entende seus direitos, incluindo o de permanecer em silêncio e solicitar ERRO presença ERRO de um advogado?"""
"""Sim.""","""Sim."""
"""Ótimo. Queremos ouvir sua versão dos fatos. Está disposto a colaborar?""","""Ótimo. Queremos ouvir sua versão dos fatos. ERRO ERRO a colaborar?"""
"""Sim, claro.""","""Sim, claro."""
"""Paulo, pode nos contar o que estava fazendo no Parque das Nações por volta das 16h daquele dia?""","""Paulo, pode nos contar o que estava fazendo no Parque das ERRO volta das 16h daquele dia?"""
"""Sim, eu estava passeando. Sempre vou lá para relaxar.""","""Sim, eu estava passeando. Sempre ERRO lá para ERRO"
"""Compreendo. Estava sozinho ou acompanhado?""","""Compreendo. sozinho ou acompanhado?"""
"""Estava sozinho.""","""Estava sozinho."""
"""As câmeras de segurança mostram você mexendo na trava de uma bicicleta elétrica. Pode explicar o que estava fazendo?""","EXTRA ""As EXTRA câmeras segurança mostram você mexendo na trava de uma bicicleta elétrica. Pode explicar o que estava fazendo?"""
"""Sim, vi a bicicleta lá, parecia que estava abandonada. Eu só quis ver se estava trancada.""","""Sim, EXTRA vi a bicicleta lá, parecia que estava EXTRA abandonada. Eu só quis ver EXTRA se estava trancada."""
"""Entendido. Mas depois você foi visto saindo do parque com a bicicleta. Como explica isso?""","""Entendido. Mas depois foi visto saindo do parque com a bicicleta. EXTRA Como explica isso?"""
"""Eu peguei porque pensei que alguém tinha esquecido. Ia levar para casa e tentar encontrar o dono.""","""Eu peguei porque pensei que alguém tinha esquecido. Ia levar para casa e encontrar ERRO"
"""Paulo, se sua intenção era encontrar o dono, por que não entregou a bicicleta na administração do parque ou chamou a polícia?""","""Paulo, sua intenção era encontrar o ERRO ERRO que não entregou a bicicleta na administração ERRO parque ou chamou a polícia?"""
"""Eu não pensei nisso na hora. Só quis levar pra casa e depois resolver.""","""Eu ERRO pensei nisso hora. Só quis levar EXTRA pra casa e depois resolver."""
"""Entendo. Contudo, a bicicleta foi encontrada na sua casa, e você não fez nenhuma tentativa de comunicar o achado. Como explica isso?""","""Entendo. Contudo, ERRO bicicleta EXTRA foi encontrada na sua ERRO e você não fez nenhuma tentativa ERRO comunicar o achado. Como explica isso?"""
"""Eu ia devolver no dia seguinte. Foi um mal-entendido.""","""Eu ia devolver no seguinte. um mal-entendido."""
"""Veja, Paulo, as provas não corroboram sua história. Temos testemunhas e imagens que indicam que você agiu intencionalmente. Este é o momento de ser honesto. Há algo que queira acrescentar?""","""Veja, Paulo, as provas não corroboram sua ERRO Temos testemunhas EXTRA e imagens que indicam que você agiu intencionalmente. ERRO é o momento de ser ERRO Há algo que queira ERRO"
"""Não, é como eu disse. Não fiz por mal.""","""Não, é como eu disse. EXTRA ERRO fiz por mal."""
"""Está certo, Paulo. Agradecemos por sua cooperação. Sua declaração será analisada junto às provas. Caso tenha algo mais a dizer, agora é a hora.""","""Está certo, ERRO Agradecemos por sua cooperação. Sua declaração será analisada junto às provas. Caso tenha algo mais a dizer, agora é EXTRA a ERRO"
"""Não, é só isso.""","""Não, só isso."""
"""Obrigado. Por favor, fique disponível para eventuais novos esclarecimentos.""","""Obrigado. Por favor, fique ERRO para eventuais ERRO esclarecimentos."""
"""Boa tarde, João Silva. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?""","""Boa tarde, João Silva. EXTRA Esta entrevista está sendo gravada. O ERRO tem o direito de em silêncio ERRO ERRO contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?"""
"""Sim, estou ciente.""","EXTRA ""Sim, estou ciente."""
